SH600690	2005-01-01	2022-10-11
SH601390	2005-01-01	2022-10-11
SH600837	2005-01-01	2022-10-11
SH600132	2021-06-15	2022-10-11
SH600115	2011-01-04	2022-10-11
SH600104	2005-01-01	2022-10-11
SH600031	2005-01-01	2022-10-11
SH600352	2009-07-01	2022-10-11
SZ002202	2005-01-01	2022-10-11
SZ300059	2015-06-15	2022-10-11
SH600406	2011-01-04	2022-10-11
SH600061	2016-06-13	2022-10-11
SH600309	2005-01-01	2022-10-11
SH600655	2019-12-16	2022-10-11
SH600460	2022-06-13	2022-10-11
SH600036	2005-01-01	2022-10-11
SZ000776	2011-01-04	2022-10-11
SH600089	2022-06-13	2022-10-11
SH600085	2005-01-01	2022-10-11
SZ000651	2005-01-01	2022-10-11
SZ000661	2018-12-17	2022-10-11
SZ000858	2005-01-01	2022-10-11
SZ002050	2018-06-11	2022-10-11
SH600048	2005-01-01	2022-10-11
SZ300014	2020-06-15	2022-10-11
SH600150	2020-12-14	2022-10-11
SH600161	2020-12-14	2022-10-11
SH600010	2005-01-01	2022-10-11
SZ300529	2020-12-14	2022-10-11
SH603986	2018-12-17	2022-10-11
SH603160	2017-06-12	2022-10-11
SH601229	2017-06-12	2022-10-11
SZ300595	2021-06-15	2022-10-11
SZ002841	2019-12-16	2022-10-11
SH601881	2017-06-12	2022-10-11
SZ300601	2020-06-15	2022-10-11
SZ300628	2020-06-15	2022-10-11
SH603659	2021-06-15	2022-10-11
SZ002916	2019-12-16	2022-10-11
SH601838	2018-06-11	2022-10-11
SH601360	2018-06-11	2022-10-11
SH603259	2018-12-17	2022-10-11
SZ300454	2022-06-13	2022-10-11
SH601066	2018-12-17	2022-10-11
SZ300760	2021-12-13	2022-10-11
SZ300751	2022-06-13	2022-10-11
SZ300763	2022-06-13	2022-10-11
SH600989	2019-12-16	2022-10-11
SZ300782	2021-12-13	2022-10-11
SH601698	2019-12-16	2022-10-11
SH601236	2019-12-16	2022-10-11
SZ002236	2013-01-04	2022-10-11
SH601111	2005-01-01	2022-10-11
SZ002064	2021-12-13	2022-10-11
SZ000876	2005-01-01	2022-10-11
SH601088	2005-01-01	2022-10-11
SH601628	2005-01-01	2022-10-11
SH688005	2022-06-13	2022-10-11
SZ003816	2020-06-15	2022-10-11
SH688036	2020-12-14	2022-10-11
SH688363	2021-06-15	2022-10-11
SH688111	2021-06-15	2022-10-11
SH601916	2020-06-15	2022-10-11
SH601658	2020-06-15	2022-10-11
SH601816	2020-06-15	2022-10-11
SH688169	2021-06-15	2022-10-11
SH601988	2005-01-01	2022-10-11
SZ000786	2018-06-11	2022-10-11
SH600745	2020-06-15	2022-10-11
SZ002008	2014-06-16	2022-10-11
SZ002007	2010-01-04	2022-10-11
SZ002049	2020-12-14	2022-10-11
SH601898	2021-12-13	2022-10-11
SH601919	2015-06-15	2022-10-11
SZ300122	2017-12-11	2022-10-11
SH688396	2021-06-15	2022-10-11
SH600918	2020-12-14	2022-10-11
SH688599	2021-12-13	2022-10-11
SH603087	2020-12-14	2022-10-11
SH688981	2021-12-13	2022-10-11
SH688561	2021-12-13	2022-10-11
SZ300866	2021-12-13	2022-10-11
SZ300896	2021-12-13	2022-10-11
SZ300999	2021-12-13	2022-10-11
SZ300124	2014-12-15	2022-10-11
SH600183	2019-12-16	2022-10-11
SH600009	2005-01-01	2022-10-11
SZ300919	2022-06-13	2022-10-11
SZ300979	2022-06-13	2022-10-11
SH601825	2022-06-13	2022-10-11
SH601868	2021-12-13	2022-10-11
SH600941	2022-06-13	2022-10-11
SH601998	2005-01-01	2022-10-11
SH601600	2005-01-01	2022-10-11
SH600196	2005-01-01	2022-10-11
SH600426	2021-06-15	2022-10-11
SH601899	2009-01-05	2022-10-11
SZ002493	2018-06-11	2022-10-11
SZ300003	2017-12-11	2022-10-11
SH601166	2005-01-01	2022-10-11
SH600999	2010-07-01	2022-10-11
SH600845	2020-12-14	2022-10-11
SZ002352	2017-06-12	2022-10-11
SH601857	2005-01-01	2022-10-11
SH601939	2005-01-01	2022-10-11
SZ002129	2020-06-15	2022-10-11
SZ002311	2018-12-17	2022-10-11
SZ000938	2016-12-12	2022-10-11
SH600436	2017-06-12	2022-10-11
SH600029	2005-01-01	2022-10-11
SH601336	2012-07-02	2022-10-11
SZ300207	2022-06-13	2022-10-11
SZ002555	2017-06-12	2022-10-11
SZ002594	2012-01-04	2022-10-11
SZ002602	2017-06-12	2022-10-11
SH601901	2012-07-02	2022-10-11
SZ002607	2019-12-16	2022-10-11
SZ002601	2017-12-11	2022-10-11
SZ000596	2019-06-17	2022-10-11
SZ300316	2021-12-13	2022-10-11
SH601633	2012-07-02	2022-10-11
SH601669	2012-07-02	2022-10-11
SZ000408	2022-06-13	2022-10-11
SZ000001	2005-01-01	2022-10-11
SZ000002	2005-01-01	2022-10-11
SZ000066	2020-06-15	2022-10-11
SZ000301	2021-12-13	2022-10-11
SZ000538	2005-01-01	2022-10-11
SZ000568	2005-01-01	2022-10-11
SH601012	2017-12-11	2022-10-11
SH601238	2018-06-11	2022-10-11
SZ300347	2019-12-16	2022-10-11
SH603993	2013-07-01	2022-10-11
SZ000333	2005-01-01	2022-10-11
SH603806	2021-06-15	2022-10-11
SH601800	2013-01-04	2022-10-11
SH603899	2019-12-16	2022-10-11
SH603799	2017-12-11	2022-10-11
SH600958	2015-06-15	2022-10-11
SH601985	2015-12-14	2022-10-11
SH600028	2005-01-01	2022-10-11
SH600346	2018-06-11	2022-10-11
SZ002120	2018-12-17	2022-10-11
SH601618	2010-01-04	2022-10-11
SH600219	2022-06-13	2022-10-11
SZ000977	2020-06-15	2022-10-11
SH601818	2011-01-04	2022-10-11
SH600760	2018-12-17	2022-10-11
SH600795	2005-01-01	2022-10-11
SH600111	2005-01-01	2022-10-11
SH600809	2018-06-11	2022-10-11
SH600030	2005-01-01	2022-10-11
SH600362	2005-01-01	2022-10-11
SH600585	2005-01-01	2022-10-11
SZ000768	2005-01-01	2022-10-11
SZ000792	2022-06-13	2022-10-11
SH600519	2005-01-01	2022-10-11
SH600887	2011-01-04	2022-10-11
SH600893	2011-01-04	2022-10-11
SH600050	2005-01-01	2022-10-11
SZ300142	2018-12-17	2022-10-11
SZ000703	2018-12-17	2022-10-11
SZ000708	2020-06-15	2022-10-11
SZ002027	2016-06-13	2022-10-11
SZ002032	2018-12-17	2022-10-11
SH601398	2005-01-01	2022-10-11
SZ300015	2017-12-11	2022-10-11
SH600188	2022-06-13	2022-10-11
SH600900	2005-01-01	2022-10-11
SH600332	2013-07-01	2022-10-11
SH600176	2018-06-11	2022-10-11
SH600600	2020-12-14	2022-10-11
SH601155	2016-12-12	2022-10-11
SZ300496	2022-06-13	2022-10-11
SZ001979	2005-01-01	2022-10-11
SZ002791	2021-12-13	2022-10-11
SH601966	2021-12-13	2022-10-11
SH600919	2017-06-12	2022-10-11
SZ002812	2020-12-14	2022-10-11
SH600926	2017-06-12	2022-10-11
SZ002821	2020-12-14	2022-10-11
SH603833	2017-12-11	2022-10-11
SH603501	2019-12-16	2022-10-11
SZ300661	2022-06-13	2022-10-11
SH601878	2017-12-11	2022-10-11
SH603882	2021-06-15	2022-10-11
SH603260	2021-12-13	2022-10-11
SH600025	2018-06-11	2022-10-11
SZ002920	2022-06-13	2022-10-11
SH603486	2021-12-13	2022-10-11
SH601138	2018-12-17	2022-10-11
SZ300750	2021-12-13	2022-10-11
SZ002938	2019-06-17	2022-10-11
SH601319	2019-06-17	2022-10-11
SH603185	2022-06-13	2022-10-11
SZ300759	2021-12-13	2022-10-11
SH601865	2021-12-13	2022-10-11
SH688008	2020-12-14	2022-10-11
SZ002271	2018-12-17	2022-10-11
SZ002475	2014-06-16	2022-10-11
SH601766	2009-07-01	2022-10-11
SH601668	2010-01-04	2022-10-11
SZ002304	2010-07-01	2022-10-11
SH601688	2010-07-01	2022-10-11
SZ000100	2009-01-05	2022-10-11
SH688012	2020-12-14	2022-10-11
SH603290	2022-06-13	2022-10-11
SH603195	2020-12-14	2022-10-11
SH600438	2018-06-11	2022-10-11
SH601808	2018-06-11	2022-10-11
SH601288	2005-01-01	2022-10-11
SZ002001	2018-12-17	2022-10-11
SH601117	2022-06-13	2022-10-11
SH688126	2021-06-15	2022-10-11
SH603392	2020-12-14	2022-10-11
SH688065	2022-06-13	2022-10-11
SH600018	2013-12-16	2022-10-11
SH600763	2020-12-14	2022-10-11
SH600383	2005-01-01	2022-10-11
SH600588	2009-01-05	2022-10-11
SH600019	2005-01-01	2022-10-11
SH600016	2005-01-01	2022-10-11
SH600011	2017-12-11	2022-10-11
SZ002459	2021-12-13	2022-10-11
SZ002460	2017-12-11	2022-10-11
SZ000338	2005-01-01	2022-10-11
SH601995	2021-06-15	2022-10-11
SZ300957	2022-06-13	2022-10-11
SH605499	2021-12-13	2022-10-11
SH600905	2021-12-13	2022-10-11
SH601728	2021-12-13	2022-10-11
SZ001289	2022-06-13	2022-10-11
SH600276	2011-01-04	2022-10-11
SH600000	2005-01-01	2022-10-11
SZ002466	2021-12-13	2022-10-11
SH601888	2010-07-01	2022-10-11
SZ002410	2019-06-17	2022-10-11
SH601877	2016-12-12	2022-10-11
SZ002230	2013-12-16	2022-10-11
SH601601	2005-01-01	2022-10-11
SZ002414	2020-12-14	2022-10-11
SZ002179	2018-12-17	2022-10-11
SH601788	2015-06-15	2022-10-11
SZ002142	2005-01-01	2022-10-11
SH601009	2005-01-01	2022-10-11
SZ002074	2022-06-13	2022-10-11
SH600606	2016-06-13	2022-10-11
SH600660	2005-01-01	2022-10-11
SH600741	2005-01-01	2022-10-11
SH600886	2013-01-04	2022-10-11
SZ002252	2014-06-16	2022-10-11
SH601989	2010-07-01	2022-10-11
SZ300033	2016-12-12	2022-10-11
SH601186	2009-01-05	2022-10-11
SH601318	2005-01-01	2022-10-11
SH601006	2005-01-01	2022-10-11
