sh600010	2022-06-13	2100-12-31
sh600111	2022-06-13	2100-12-31
sh600346	2022-06-13	2100-12-31
sh600905	2022-06-13	2100-12-31
sh603799	2022-06-13	2100-12-31
sh601919	2021-12-13	2100-12-31
sh601728	2021-12-13	2100-12-31
sh601633	2021-12-13	2100-12-31
sh600900	2021-12-13	2100-12-31
sh600436	2021-12-13	2100-12-31
sh601995	2021-06-15	2100-12-31
sh601899	2021-06-15	2100-12-31
sh600893	2021-06-15	2100-12-31
sh600809	2021-06-15	2100-12-31
sh600438	2021-06-15	2100-12-31
sh603986	2020-12-14	2100-12-31
sh603501	2020-12-14	2100-12-31
sh603288	2020-12-14	2100-12-31
sh600570	2020-12-14	2100-12-31
sh600745	2020-06-15	2100-12-31
sh600588	2020-06-15	2100-12-31
sh601012	2019-12-16	2100-12-31
sh601066	2019-06-17	2100-12-31
sh600837	2019-06-17	2100-12-31
sh600031	2019-06-17	2100-12-31
sh603259	2018-12-17	2100-12-31
sh600196	2018-12-17	2100-12-31
sh601888	2018-12-17	2100-12-31
sh600690	2018-06-11	2100-12-31
sh600276	2018-06-11	2100-12-31
sh600585	2018-06-11	2100-12-31
sh600309	2017-12-11	2100-12-31
sh601211	2015-12-14	2100-12-31
sh601688	2013-01-04	2100-12-31
sh600887	2012-07-02	2100-12-31
sh601288	2010-07-29	2100-12-31
sh601668	2010-01-04	2100-12-31
sh601601	2008-07-01	2100-12-31
sh601857	2007-11-19	2100-12-31
sh601088	2007-10-23	2100-12-31
sh601318	2007-03-15	2100-12-31
sh601166	2007-02-26	2100-12-31
sh601628	2007-01-23	2100-12-31
sh600048	2007-01-04	2100-12-31
sh601398	2006-11-10	2100-12-31
sh600519	2005-07-01	2100-12-31
sh600030	2004-01-02	2100-12-31
sh600104	2004-01-02	2100-12-31
sh600036	2004-01-02	2100-12-31
sh600028	2004-01-02	2100-12-31
sh600000	2012-01-04	2022-06-13
sh600050	2012-01-04	2022-06-13
sh600547	2019-12-16	2022-06-13
sh601138	2018-12-17	2022-06-13
sh601336	2015-12-14	2022-06-13
sh600016	2012-01-04	2021-12-13
sh600918	2020-12-14	2021-12-13
sh600009	2019-12-16	2021-12-13
sh601818	2011-01-04	2021-12-13
sh600703	2018-06-11	2021-12-13
sh601816	2020-06-15	2021-06-15
sh603160	2020-06-15	2021-06-15
sh601186	2015-06-15	2021-06-15
sh601236	2019-12-16	2021-06-15
sh601319	2019-06-17	2021-06-15
sh601328	2007-05-29	2020-12-14
sh601989	2011-07-01	2020-12-14
sh603993	2017-12-11	2020-12-14
sh601988	2015-06-15	2020-12-14
sh601658	2020-06-15	2020-12-14
sh600340	2017-06-12	2020-06-15
sh601111	2019-06-17	2020-06-15
sh601390	2015-06-15	2020-06-15
sh601939	2018-12-17	2020-06-15
sh601766	2012-01-04	2020-06-15
sh600019	2017-12-11	2019-12-16
sh601229	2017-06-12	2019-12-16
sh601800	2015-06-15	2019-12-16
sh600029	2016-06-13	2019-12-16
sh600606	2017-06-12	2019-06-17
sh601169	2009-01-05	2019-06-17
sh600547	2016-12-12	2019-06-17
sh601006	2012-01-04	2019-06-17
sh601360	2018-06-11	2019-06-17
sh601881	2017-06-12	2018-12-17
sh600111	2011-01-04	2018-12-17
sh600958	2015-06-15	2018-12-17
sh600999	2013-07-01	2018-12-17
sh601878	2017-12-11	2018-12-17
sh601985	2015-12-14	2018-06-11
sh600518	2013-07-01	2018-06-11
sh601669	2017-12-11	2018-06-11
sh600919	2017-06-12	2018-06-11
sh600837	2009-01-05	2018-06-11
sh601901	2016-12-12	2017-12-11
sh601788	2016-06-13	2017-12-11
sh600100	2016-12-12	2017-12-11
sh601198	2016-12-12	2017-12-11
sh600109	2014-12-15	2017-06-12
sh601377	2016-06-13	2017-06-12
sh600637	2013-12-16	2017-06-12
sh600893	2015-05-21	2017-06-12
sh601998	2014-12-15	2017-06-12
sh601727	2016-06-13	2016-12-12
sh601919	2016-06-13	2016-12-12
sh600795	2015-12-14	2016-12-12
sh601669	2015-12-14	2016-12-12
sh600010	2012-01-04	2016-12-12
sh600018	2013-12-20	2016-06-13
sh600150	2014-12-15	2016-06-13
sh600585	2011-07-01	2016-06-13
sh600015	2012-01-04	2016-06-13
sh601901	2012-07-02	2016-06-13
sh600089	2014-06-16	2015-12-14
sh600690	2014-12-15	2015-12-14
sh600256	2012-07-02	2015-12-14
sh600406	2013-12-16	2015-12-14
sh600583	2015-05-21	2015-12-14
sh601118	2014-06-16	2015-06-15
sh600332	2013-12-16	2015-06-15
sh600372	2014-12-15	2015-06-15
sh600196	2014-06-16	2015-06-15
sh600703	2014-06-16	2015-06-15
sh600383	2013-07-01	2014-12-15
sh601336	2013-01-02	2014-12-15
sh600031	2011-01-04	2014-12-15
sh601117	2013-12-16	2014-12-15
sh600547	2010-01-04	2014-12-15
sh600489	2010-01-04	2014-06-16
sh601699	2010-07-01	2014-06-16
sh600549	2013-01-02	2014-06-16
sh601899	2009-01-05	2014-06-16
sh600362	2012-01-04	2014-06-16
sh600019	2004-01-02	2013-12-20
sh600348	2011-01-04	2013-12-16
sh600123	2013-01-02	2013-12-16
sh601669	2012-07-02	2013-12-16
sh601788	2013-07-01	2013-12-16
sh600188	2012-01-04	2013-07-01
sh601800	2013-01-02	2013-07-01
sh601898	2009-01-05	2013-07-01
sh600058	2012-01-04	2013-07-01
sh601118	2011-07-01	2013-01-02
sh601600	2007-04-30	2013-01-02
sh600900	2004-01-02	2013-01-02
sh601958	2009-07-01	2013-01-02
sh601111	2007-07-02	2012-07-02
sh601168	2008-01-02	2012-07-02
sh600089	2010-01-04	2012-07-02
sh600383	2010-01-04	2012-07-02
sh600016	2005-10-27	2012-01-04
sh600028	2011-01-04	2012-01-04
sh600362	2011-01-04	2012-01-04
sh601006	2011-01-04	2012-01-04
sh601766	2011-07-01	2012-01-04
sh601919	2008-07-01	2012-01-04
sh600188	2011-07-01	2012-01-04
sh601390	2008-07-01	2012-01-04
sh601688	2011-01-04	2012-01-04
sh601939	2008-01-02	2012-01-04
sh600000	2011-01-04	2012-01-04
sh600015	2011-01-04	2012-01-04
sh600048	2011-01-04	2012-01-04
sh600050	2011-01-04	2012-01-04
sh600519	2011-01-04	2012-01-04
sh601398	2011-01-04	2012-01-04
sh601998	2010-07-01	2011-07-01
sh601618	2010-07-01	2011-07-01
sh601988	2011-01-04	2011-07-01
sh601788	2010-07-01	2011-07-01
sh600048	2007-01-04	2011-01-04
sh600739	2008-01-02	2011-01-04
sh601766	2009-07-01	2011-01-04
sh600015	2004-01-02	2011-01-04
sh600028	2004-01-02	2011-01-04
sh600362	2007-01-04	2011-01-04
sh600519	2005-07-01	2011-01-04
sh600550	2009-07-01	2011-01-04
sh601398	2006-11-10	2011-01-04
sh600000	2004-01-02	2011-01-04
sh600050	2004-01-02	2011-01-04
sh600795	2004-01-02	2011-01-04
sh601006	2006-08-15	2011-01-04
sh601186	2009-01-05	2011-01-04
sh601988	2006-07-19	2011-01-04
sh601727	2009-07-01	2010-07-29
sh600018	2005-08-23	2010-07-01
sh600320	2006-03-30	2010-07-01
sh600029	2008-07-01	2010-07-01
sh600598	2009-07-01	2010-07-01
sh601333	2007-07-02	2010-01-04
sh601998	2007-05-18	2010-01-04
sh600009	2006-03-03	2010-01-04
sh600177	2006-01-04	2010-01-04
sh600642	2005-08-18	2010-01-04
sh600010	2006-07-03	2009-07-01
sh600497	2008-01-02	2009-07-01
sh601588	2007-07-02	2009-07-01
sh601991	2008-07-01	2009-07-01
sh600601	2004-01-02	2009-01-05
sh600717	2005-12-28	2009-01-05
sh600811	2007-07-02	2009-01-05
sh600881	2008-01-02	2009-01-05
sh600887	2004-01-02	2009-01-05
sh600309	2006-01-04	2008-07-01
sh600100	2006-02-13	2008-07-01
sh601872	2007-07-02	2008-07-01
sh600011	2004-01-02	2008-07-01
sh600331	2007-01-04	2008-01-02
sh600037	2007-01-04	2008-01-02
sh600026	2006-01-04	2008-01-02
sh600583	2006-07-03	2008-01-02
sh600688	2004-01-02	2008-01-02
sh600269	2006-04-24	2007-11-19
sh600879	2005-01-03	2007-10-23
sh600550	2007-01-04	2007-07-02
sh600649	2004-01-02	2007-07-02
sh600895	2005-10-25	2007-07-02
sh600029	2004-01-02	2007-07-02
sh600418	2006-07-03	2007-07-02
sh600660	2006-03-16	2007-05-29
sh600188	2005-07-01	2007-05-18
sh600085	2006-07-03	2007-03-15
sh600428	2006-01-04	2007-02-26
sh600004	2005-12-21	2007-01-23
sh600058	2006-01-04	2007-01-04
sh600839	2004-01-02	2007-01-04
sh600020	2004-07-01	2007-01-04
sh600500	2005-08-15	2007-01-04
sh600210	2005-08-01	2007-01-04
sh600098	2005-08-23	2006-11-10
sh600027	2006-01-04	2006-08-15
sh600797	2005-11-01	2006-07-19
sh600033	2004-01-02	2006-07-03
sh600171	2006-01-24	2006-07-03
sh600780	2005-11-01	2006-07-03
sh600808	2004-01-02	2006-07-03
sh600602	2006-01-16	2006-07-03
sh600320	2005-07-01	2006-03-29
sh600660	2005-01-03	2006-03-15
sh600009	2004-01-02	2006-03-02
sh600100	2004-01-02	2006-02-10
sh600171	2004-01-02	2006-01-23
sh600602	2004-01-02	2006-01-13
sh600643	2004-01-02	2006-01-04
sh600812	2004-01-02	2006-01-04
sh600021	2005-11-28	2006-01-04
sh600569	2004-01-02	2006-01-04
sh600026	2004-01-02	2005-12-30
sh600717	2004-01-02	2005-12-27
sh600004	2004-01-02	2005-12-20
sh600021	2004-07-01	2005-11-25
sh600780	2005-01-03	2005-10-31
sh600797	2005-07-01	2005-10-31
sh600016	2004-01-02	2005-10-26
sh600895	2004-01-02	2005-10-24
sh600018	2004-01-02	2005-08-22
sh600098	2005-07-01	2005-08-22
sh600642	2004-01-02	2005-08-17
sh600500	2005-01-03	2005-08-12
sh600210	2005-01-03	2005-07-29
sh600609	2004-01-02	2005-07-01
sh600350	2004-01-02	2005-07-01
sh600006	2004-01-02	2005-07-01
sh600008	2004-01-02	2005-07-01
sh600705	2004-01-02	2005-07-01
sh600664	2004-01-02	2005-01-03
sh600811	2004-01-02	2005-01-03
sh600637	2004-01-02	2005-01-03
sh600805	2004-01-02	2005-01-03
sh600597	2004-01-02	2004-07-01
sh600221	2004-01-02	2004-07-01
sh600038	2004-01-02	2004-07-01
sh600863	2004-01-02	2004-07-01
sh600098	2004-01-02	2004-07-01
